,ctx_item_id,arima_orer,seasonal_order,aic,arima_order_p,arima_order_d,arima_order_q,seasonal_order_p,seasonal_order_d,seasonal_order_q,seasonal_order_m
846,FOODS_3_393,"(1, 0, 0)","(0, 1, 0, 12)",271.52425980920816,1.0,0.0,0.0,0.0,1.0,0.0,12.0
847,FOODS_3_424,"(2, 0, 0)","(1, 0, 0, 12)",573.6935903055116,2.0,0.0,0.0,1.0,0.0,0.0,12.0
848,FOODS_3_426,"(3, 0, 0)","(0, 0, 0, 12)",273.85286063522364,3.0,0.0,0.0,0.0,0.0,0.0,12.0
849,FOODS_3_432,"(5, 0, 0)","(0, 0, 0, 12)",559.684202974647,5.0,0.0,0.0,0.0,0.0,0.0,12.0
850,FOODS_3_456,"(5, 0, 0)","(0, 0, 0, 12)",330.89860763242757,5.0,0.0,0.0,0.0,0.0,0.0,12.0
851,FOODS_3_461,"(3, 0, 3)","(0, 0, 1, 12)",526.1768866497121,3.0,0.0,3.0,0.0,0.0,1.0,12.0
852,FOODS_3_487,,,,,,,,,,
853,FOODS_3_515,"(3, 0, 0)","(2, 0, 0, 12)",340.1119377867099,3.0,0.0,0.0,2.0,0.0,0.0,12.0
854,FOODS_3_532,"(2, 0, 1)","(0, 0, 0, 12)",229.85167999013095,2.0,0.0,1.0,0.0,0.0,0.0,12.0
855,FOODS_3_542,"(2, 0, 0)","(0, 0, 0, 12)",448.7485701190191,2.0,0.0,0.0,0.0,0.0,0.0,12.0
856,FOODS_3_565,"(2, 0, 0)","(0, 0, 0, 12)",503.50735746658967,2.0,0.0,0.0,0.0,0.0,0.0,12.0
857,FOODS_3_584,"(0, 1, 0)","(0, 0, 0, 12)",505.13480592582596,0.0,1.0,0.0,0.0,0.0,0.0,12.0
858,FOODS_3_687,"(2, 0, 0)","(0, 0, 0, 12)",455.82650224671846,2.0,0.0,0.0,0.0,0.0,0.0,12.0
859,FOODS_3_707,"(2, 0, 2)","(0, 1, 0, 12)",12.0,2.0,0.0,2.0,0.0,1.0,0.0,12.0
860,FOODS_3_711,"(5, 0, 0)","(0, 0, 0, 12)",727.2907230975425,5.0,0.0,0.0,0.0,0.0,0.0,12.0
861,FOODS_3_716,"(3, 0, 0)","(0, 0, 0, 12)",545.7329672394651,3.0,0.0,0.0,0.0,0.0,0.0,12.0
862,FOODS_3_766,"(0, 1, 1)","(1, 0, 0, 12)",480.1905252763405,0.0,1.0,1.0,1.0,0.0,0.0,12.0
863,FOODS_3_774,"(2, 0, 0)","(1, 0, 0, 12)",438.24317909940845,2.0,0.0,0.0,1.0,0.0,0.0,12.0
864,FOODS_3_775,"(0, 1, 0)","(0, 0, 0, 12)",456.0388235397133,0.0,1.0,0.0,0.0,0.0,0.0,12.0
865,FOODS_3_825,"(5, 0, 0)","(0, 0, 1, 12)",497.6578330877544,5.0,0.0,0.0,0.0,0.0,1.0,12.0
866,HOBBIES_1_017,"(0, 1, 0)","(0, 0, 0, 12)",387.7223746141433,0.0,1.0,0.0,0.0,0.0,0.0,12.0
867,HOBBIES_1_079,"(2, 0, 0)","(0, 0, 0, 12)",439.58252750217906,2.0,0.0,0.0,0.0,0.0,0.0,12.0
868,HOBBIES_1_084,"(2, 0, 0)","(0, 0, 1, 12)",468.84252857032783,2.0,0.0,0.0,0.0,0.0,1.0,12.0
869,HOBBIES_1_086,"(1, 0, 2)","(0, 0, 0, 12)",448.6141016316447,1.0,0.0,2.0,0.0,0.0,0.0,12.0
870,HOBBIES_1_137,"(4, 0, 0)","(0, 0, 0, 12)",455.0249088428421,4.0,0.0,0.0,0.0,0.0,0.0,12.0
871,HOBBIES_1_151,"(1, 1, 2)","(1, 0, 0, 12)",360.66945953304077,1.0,1.0,2.0,1.0,0.0,0.0,12.0
872,HOBBIES_1_200,"(2, 0, 0)","(0, 0, 0, 12)",303.11790186751324,2.0,0.0,0.0,0.0,0.0,0.0,12.0
873,HOBBIES_1_216,"(0, 1, 4)","(0, 0, 1, 12)",422.3004245489881,0.0,1.0,4.0,0.0,0.0,1.0,12.0
